00-Cfg,00-Index,01-Date,02-Open,03-Low,04-High,05-Close,06-Buy,07-Sell,08-Profit,09-Actual,10-Prediction,11-Pred_Result,12-Deal
,, 2017/03/10,2343.31,2336.32,2347.46,2339.23,0.0,0.0,0.0,2355.22,2352.570068359375,,
,, 2017/03/13,2337.36,2328.62,2355.22,2354.89,0.0,0.0,0.0,2359.31,2372.106201171875,,
,, 2017/03/14,2353.72,2349.28,2359.31,2354.9,0.0,0.0,0.0,2357.85,2369.468017578125,,
,, 2017/03/15,2352.39,2345.44,2357.85,2357.31,0.0,0.0,0.0,2376.51,2372.276123046875,,
,, 2017/03/16,2362.36,2362.36,2376.51,2369.19,0.0,0.0,0.0,2373.54,2389.98486328125,,
,, 2017/03/17,2371.61,2342.02,2373.54,2346.96,0.0,0.0,0.0,2355.53,2364.302490234375,,
,, 2017/03/20,2352.12,2337.53,2355.53,2350.07,0.0,0.0,0.0,2358.55,2367.62548828125,,
,, 2017/03/21,2352.21,2348.87,2358.55,2357.14,0.0,0.0,0.0,2352.76,2377.36572265625,,
,, 2017/03/22,2347.86,2330.12,2352.76,2338.55,0.0,0.0,0.0,2356.27,2357.256591796875,,
,, 2017/03/23,2340.06,2334.12,2356.27,2347.43,0.0,0.0,0.0,2373.58,2365.36279296875,,
,, 2017/03/24,2350.69,2341.62,2373.58,2365.6,0.0,0.0,0.0,2381.77,2391.100341796875,,
,, 2017/03/27,2364.75,2360.67,2381.77,2364.43,0.0,0.0,0.0,2368.38,2387.68896484375,,
,, 2017/03/28,2368.15,2353.08,2368.38,2356.31,0.0,0.0,0.0,2363.77,2371.40673828125,,
,, 2017/03/29,2358.0,2349.13,2363.77,2352.69,0.0,0.0,0.0,2356.44,2374.15283203125,,
,, 2017/03/30,2350.92,2335.23,2356.44,2346.67,0.0,0.0,0.0,2361.32,2366.557373046875,,
,, 2017/03/31,2344.96,2340.77,2361.32,2359.75,0.0,0.0,0.0,2384.68,2379.25634765625,,
,, 2017/04/05,2369.49,2365.34,2384.68,2384.26,0.0,0.0,0.0,2395.12,2409.679931640625,,
,, 2017/04/06,2384.43,2376.15,2395.12,2390.39,0.0,0.0,0.0,2394.05,2413.374267578125,,
,, 2017/04/07,2390.91,2379.33,2394.05,2388.27,0.0,0.0,0.0,2391.95,2407.9599609375,,
,, 2017/04/10,2388.56,2377.43,2391.95,2379.16,0.0,0.0,0.0,2385.05,2397.819580078125,,
,, 2017/04/11,2374.92,2354.02,2385.05,2382.11,0.0,0.0,0.0,2385.61,2403.823974609375,,
,, 2017/04/12,2378.93,2362.43,2385.61,2378.86,0.0,0.0,0.0,2373.37,2396.9912109375,,
,, 2017/04/13,2369.61,2364.44,2373.37,2368.11,0.0,0.0,0.0,2368.8,2382.93798828125,,
,, 2017/04/14,2367.78,2344.61,2368.8,2355.52,0.0,0.0,0.0,2359.18,2371.5849609375,,
,, 2017/04/17,2348.75,2334.89,2359.18,2357.52,0.0,0.0,0.0,2352.79,2374.622314453125,,
,, 2017/04/18,2352.51,2336.77,2352.79,2337.35,0.0,0.0,0.0,2335.99,2354.1982421875,,
,, 2017/04/19,2331.66,2311.66,2335.99,2325.04,0.0,0.0,0.0,2336.54,2342.44189453125,,
,, 2017/04/20,2324.37,2321.0,2336.54,2335.65,0.0,0.0,0.0,2350.87,2354.3974609375,,
,, 2017/04/21,2336.44,2333.23,2350.87,2347.67,0.0,0.0,0.0,2344.19,2366.932373046875,,
,, 2017/04/24,2344.19,2323.67,2344.19,2341.93,0.0,0.0,0.0,2348.6,2359.368896484375,,
,, 2017/04/25,2337.52,2334.0,2348.6,2344.74,0.0,0.0,0.0,2360.28,2357.57666015625,,
