index,date,open,low,high,close,open,low,high,close,vol,y-1day_high
, 2004/09/28,948.18,937.3,954.1,947.77,948.18,937.3,954.1,947.77,4336172,950.99
, 2004/09/29,948.51,934.95,950.99,936.46,948.51,934.95,950.99,936.46,3887717,938.69
, 2004/09/30,936.38,920.54,938.69,924.35,936.38,920.54,938.69,924.35,4317368,936.24
, 2004/10/08,922.8,904.98,936.24,936.01,922.8,904.98,936.24,936.01,4731583,938.64
, 2004/10/11,936.48,920.6,938.64,923.22,936.48,920.6,938.64,923.22,6302681,921.42
, 2004/10/12,920.78,900.19,921.42,902.72,920.78,900.19,921.42,902.72,5108732,909.13
, 2004/10/13,901.27,894.67,909.13,901.97,901.27,894.67,909.13,901.97,4251093,903.48
, 2004/10/14,902.47,874.7,903.48,876.82,902.47,874.7,903.48,876.82,4972227,884.78
, 2004/10/15,873.76,867.3,884.78,879.72,873.76,867.3,884.78,879.72,4002423,887.64
, 2004/10/18,880.27,869.04,887.64,882.66,880.27,869.04,887.64,882.66,2558552,901.29
, 2004/10/19,885.38,882.85,901.29,884.93,885.38,882.85,901.29,884.93,3456122,884.54
, 2004/10/20,884.54,867.6,884.54,879.39,884.54,867.6,884.54,879.39,3347707,885.56
, 2004/10/21,879.66,861.61,885.56,864.31,879.66,861.61,885.56,864.31,6055731,881.19
, 2004/10/22,864.38,858.6,881.19,878.74,864.38,858.6,881.19,878.74,5223963,893.11
, 2004/10/25,886.05,864.42,893.11,865.65,886.05,864.42,893.11,865.65,5931402,875.96
, 2004/10/26,864.43,851.45,875.96,875.85,864.43,851.45,875.96,875.85,5815649,885.1
, 2004/10/27,876.98,866.56,885.1,884.85,876.98,866.56,885.1,884.85,7450793,892.78
, 2004/10/28,885.41,879.47,892.78,882.91,885.41,879.47,892.78,882.91,5923453,881.24
, 2004/10/29,867.57,860.68,881.24,870.79,867.57,860.68,881.24,870.79,6156771,875.43
, 2004/11/01,869.17,862.42,875.43,862.83,869.17,862.42,875.43,862.83,3896209,865.19
, 2004/11/02,861.96,853.39,865.19,862.25,861.96,853.39,865.19,862.25,3505454,879.06
, 2004/11/03,864.36,862.05,879.06,877.53,864.36,862.05,879.06,877.53,4218236,885.61
, 2004/11/04,877.76,858.14,885.61,860.81,877.76,858.14,885.61,860.81,4641808,870.06
, 2004/11/05,864.71,857.46,870.06,862.26,864.71,857.46,870.06,862.26,3029204,866.15
, 2004/11/08,860.63,853.31,866.15,864.34,860.63,853.31,866.15,864.34,1998289,871.22
, 2004/11/09,864.89,860.28,871.22,864.57,864.89,860.28,871.22,864.57,1788275,904.27
, 2004/11/10,867.1,860.96,904.27,897.77,867.1,860.96,904.27,897.77,8588036,914.36
, 2004/11/11,900.34,893.3,914.36,894.11,900.34,893.3,914.36,894.11,8506183,902.98
, 2004/11/12,893.17,890.35,902.98,898.17,893.17,890.35,902.98,898.17,4457515,909.55
, 2004/11/15,900.66,899.63,909.55,906.98,900.66,899.63,909.55,906.98,3977228,911.1
, 2004/11/16,908.49,901.11,911.1,906.73,908.49,901.11,911.1,906.73,3617668,906.88
, 2004/11/17,906.3,892.93,906.88,896.1,906.3,892.93,906.88,896.1,2814596,901.22
, 2004/11/18,894.32,893.48,901.22,900.82,894.32,893.48,901.22,900.82,2569917,907.57
, 2004/11/19,902.48,898.24,907.57,906.99,902.48,898.24,907.57,906.99,3370416,910.05
, 2004/11/22,907.05,901.67,910.05,905.84,907.05,901.67,910.05,905.84,3468375,905.79
, 2004/11/23,905.79,892.65,905.79,893.28,905.79,892.65,905.79,893.28,3242435,902.69
, 2004/11/24,893.39,888.21,902.69,889.12,893.39,888.21,902.69,889.12,3688191,893.89
, 2004/11/25,889.43,883.69,893.89,890.78,889.43,883.69,893.89,890.78,3499111,893.46
, 2004/11/26,890.38,888.21,893.46,889.08,890.38,888.21,893.46,889.08,2130382,889.29
, 2004/11/29,887.76,877.98,889.29,879.26,887.76,877.98,889.29,879.26,2315849,882.5
, 2004/11/30,878.35,875.89,882.5,879.31,878.35,875.89,882.5,879.31,2094155,881.77
, 2004/12/01,880.07,874.66,881.77,875.4,880.07,874.66,881.77,875.4,1909957,875.05
, 2004/12/02,874.88,865.13,875.05,871.13,874.88,865.13,875.05,871.13,3010871,878.27
, 2004/12/03,870.57,869.57,878.27,871.56,870.57,869.57,878.27,871.56,2335736,877.9
, 2004/12/06,872.28,865.96,877.9,875,872.28,865.96,877.9,875,1828539,878.19
, 2004/12/07,875.44,867.73,878.19,868.29,875.44,867.73,878.19,868.29,2164087,878.49
, 2004/12/08,874.6,867.07,878.49,868.9,874.6,867.07,878.49,868.9,2037744,890.5
, 2004/12/09,869.01,861.82,890.5,878.72,869.01,861.82,890.5,878.72,5684878,881.45
, 2004/12/10,877.16,867.74,881.45,868.43,877.16,867.74,881.45,868.43,2988533,867.74
, 2004/12/13,864.35,859,867.74,865.76,864.35,859,867.74,865.76,2270801,870.08
, 2004/12/14,865.38,860.35,870.08,862.06,865.38,860.35,870.08,862.06,2560084,872.11
, 2004/12/15,862.26,854.85,872.11,867.6,862.26,854.85,872.11,867.6,3944491,875.76
, 2004/12/16,867.38,861.17,875.76,867,867.38,861.17,875.76,867,3414475,866.04
, 2004/12/17,865.52,855.63,866.04,857.25,865.52,855.63,866.04,857.25,2360692,853.16
, 2004/12/20,853,842.72,853.16,845.68,853,842.72,853.16,845.68,2791119,855.08
, 2004/12/21,847.35,842.65,855.08,845.38,847.35,842.65,855.08,845.38,2644310,865.17
, 2004/12/22,848.16,842.32,865.17,865.08,848.16,842.32,865.17,865.08,5298284,865.32
, 2004/12/23,865.32,850.03,865.32,850.7,865.32,850.03,865.32,850.7,2359376,856.49
, 2004/12/24,848.57,848.08,856.49,851.78,848.57,848.08,856.49,851.78,2457726,859.09
, 2004/12/27,851.78,846.02,859.09,848.19,851.78,846.02,859.09,848.19,3169635,852.66
, 2004/12/28,849.42,843.63,852.66,848.63,849.42,843.63,852.66,848.63,2893512,854.33
, 2004/12/29,847.88,842.27,854.33,843.78,847.88,842.27,854.33,843.78,3604329,848.16
, 2004/12/30,842.36,837.21,848.16,843.53,842.36,837.21,848.16,843.53,3582315,850.85
, 2004/12/31,846.12,841.7,850.85,842.73,846.12,841.7,850.85,842.73,2978720,836.99
, 2005/01/04,836.99,824.01,836.99,827.07,836.99,824.01,836.99,827.07,4031697,836.43
, 2005/01/05,825.71,822.97,836.43,831.43,825.71,822.97,836.43,831.43,3020863,833.07
, 2005/01/06,831.99,820.34,833.07,822.5,831.99,820.34,833.07,822.5,2753574,832.95
, 2005/01/07,822.67,819.44,832.95,823.62,822.67,819.44,832.95,823.62,3066086,833.65
, 2005/01/10,823.77,821,833.65,832.99,823.77,821,833.65,832.99,2479411,839.69
, 2005/01/11,833.21,831.38,839.69,837.86,833.21,831.38,839.69,837.86,2450098,837.8
, 2005/01/12,837.36,831.18,837.8,837.24,837.36,831.18,837.8,837.24,1632751,838.19
, 2005/01/13,836.17,833.1,838.19,834.22,836.17,833.1,838.19,834.22,2096694,845.55
, 2005/01/14,834.35,828.05,845.55,829.04,834.35,828.05,845.55,829.04,3627087,825.54
, 2005/01/17,821.19,810,825.54,811.55,821.19,810,825.54,811.55,3252217,817.69
, 2005/01/18,811.32,805.37,817.69,817.31,811.32,805.37,817.69,817.31,3719265,817.16
, 2005/01/19,816.64,809.49,817.16,810.99,816.64,809.49,817.16,810.99,3297547,810.87
, 2005/01/20,807.4,801.07,810.87,805.08,807.4,801.07,810.87,805.08,3649395,835.24
, 2005/01/21,803.09,798.35,835.24,831.85,803.09,798.35,835.24,831.85,7407806,851.24
, 2005/01/24,847.07,831.08,851.24,842.41,847.07,831.08,851.24,842.41,6486124,842.19
, 2005/01/25,839.72,832.09,842.19,841.64,839.72,832.09,842.19,841.64,4119281,844.07
, 2005/01/26,840.82,833.64,844.07,834.67,840.82,833.64,844.07,834.67,3018077,833.75
, 2005/01/27,831.83,820.93,833.75,821.71,831.83,820.93,833.75,821.71,3029540,822.82
, 2005/01/28,819.66,816.54,822.82,820.69,819.66,816.54,822.82,820.69,2339918,819.35
, 2005/01/31,817.93,810.72,819.35,813.75,817.93,810.72,819.35,813.75,2588408,824.11
, 2005/02/01,812.56,812.15,824.11,817.87,812.56,812.15,824.11,817.87,2732303,860.88
, 2005/02/02,819.24,819.24,860.88,860.5,819.24,819.24,860.88,860.5,7774033,867.2
, 2005/02/03,856.77,846.41,867.2,848.49,856.77,846.41,867.2,848.49,7120290,877.39
, 2005/02/04,847.62,845.45,877.39,872.88,847.62,845.45,877.39,872.88,7331555,884.99
, 2005/02/16,877.97,871.38,884.99,875.46,877.97,871.38,884.99,875.46,5056844,876.64
